id,english,target
gmat_0001,abate,완화하다
gmat_0002,aberration,수차
gmat_0003,abhor,혐오하다
gmat_0004,abide by,준수하다
gmat_0005,abrupt,험준한
gmat_0006,abstain,기권하다
gmat_0007,acclaim,환호
gmat_0008,account for,계정
gmat_0009,accrue,생기다
gmat_0010,accuse,고발하다
gmat_0011,acknowledge,인정하다
gmat_0012,acquiesce,묵인하다
gmat_0013,acquit,무죄를 선고하다
gmat_0014,acute,심각한
gmat_0015,adverse,불리한
gmat_0016,advocate,지지하다
gmat_0017,aggregate,골재
gmat_0018,albeit,비록 ~일지라도
gmat_0019,alternative explanation,대안적 설명
gmat_0020,ambiguous,모호한
gmat_0021,ambivalent,모호한
gmat_0022,ameliorate,개선하다
gmat_0023,anachronistic,시대착오적인
gmat_0024,analogous,유사한
gmat_0025,analogy,유추
gmat_0026,anecdotal,일화적인
gmat_0027,anomaly,변칙
gmat_0028,antagonistic,적대적인
gmat_0029,apathy,냉담
gmat_0030,appeal,항소
gmat_0031,appeal against,항소
gmat_0032,appraise,평가하다
gmat_0033,arbitrary,임의적인
gmat_0034,arduous,어려운
gmat_0035,articulate,명확하게 표현하기
gmat_0036,ascertain,명백히 하다
gmat_0037,assault,폭행
gmat_0038,assert,주장하다
gmat_0039,assess,평가하다
gmat_0040,assiduous,부지런한
gmat_0041,assumption,추정
gmat_0042,attenuate,가늘게 하다
gmat_0043,attribute (to),속성(에)
gmat_0044,attribute to,~에 속성을 부여하다
gmat_0045,augment,증강
gmat_0046,austere,남풍
gmat_0047,authentic,진본인
gmat_0048,avert,돌리다
gmat_0049,bailiff,집행관
gmat_0050,beyond a reasonable doubt,합리적인 의심의 여지가 없을 정도로
gmat_0051,bias,편견
gmat_0052,biased sample,편향된 샘플
gmat_0053,bolster,받침
gmat_0054,broadly,대체로
gmat_0055,burden of proof,입증 책임
gmat_0056,burgeon,눈
gmat_0057,buttress,부벽
gmat_0058,call into question,의문을 제기하다
gmat_0059,candid,솔직한
gmat_0060,capricious,변덕스러운
gmat_0061,case,사례
gmat_0062,cast doubt on,의심을 품다
gmat_0063,catalyst,촉매
gmat_0064,causal,인과적인
gmat_0065,cause-and-effect,인과관계
gmat_0066,cautionary,경고
gmat_0067,caveat,경고
gmat_0068,charge,요금
gmat_0069,claim,주장하다
gmat_0070,claimant,원고
gmat_0071,coherent,일관성 있는
gmat_0072,coincide,일치
gmat_0073,coincidence,우연의 일치
gmat_0074,collate,함께 합치다
gmat_0075,community service,지역사회 봉사
gmat_0076,comparison,비교
gmat_0077,compelling,설득력 있는
gmat_0078,compensate,보상하다
gmat_0079,complacent,자만심에 찬
gmat_0080,complement,보어
gmat_0081,comprise,이루다
gmat_0082,concede,양보하다
gmat_0083,conclusion,결론
gmat_0084,conclusive,단호한
gmat_0085,concur,동의합니다
gmat_0086,conduct (n.),행동(명사)
gmat_0087,confound,꺾다
gmat_0088,confounding factor,혼란 요인
gmat_0089,conjecture,어림짐작
gmat_0090,consequently,따라서
gmat_0091,constrain,억누르다
gmat_0092,contend,다투다
gmat_0093,contradict,모순되는
gmat_0094,conventional,전통적인
gmat_0095,convict,죄수
gmat_0096,correlation,상관관계
gmat_0097,corroborate,입증하다
gmat_0098,counterargument,반론
gmat_0099,counterintuitive,직관에 반하는
gmat_0100,court clerk,법원 서기
gmat_0101,courtroom,법정
gmat_0102,cross-examine,반대 심문하다
gmat_0103,crucial,중대한
gmat_0104,culminate,절정에 달하다
gmat_0105,cursory,서두르는
gmat_0106,deem,라고 생각하다
gmat_0107,defend,지키다
gmat_0108,defendant,피고
gmat_0109,defense attorney,변호인
gmat_0110,defense lawyer,변호인
gmat_0111,definitive,결정적인
gmat_0112,delineate,구분하다
gmat_0113,demonstrate,입증하다
gmat_0114,depict,묘사하다
gmat_0115,deplete,비우다
gmat_0116,derive,유도하다
gmat_0117,detrimental,해로운
gmat_0118,deviate,빗나가게 하다
gmat_0119,diagnose,진단하다
gmat_0120,discrepancy,모순
gmat_0121,discrete,이산적인
gmat_0122,disinterested,사심 없는
gmat_0123,disparate,다른
gmat_0124,disseminate,전파하다
gmat_0125,distort,왜곡하다
gmat_0126,diverge,발산하다
gmat_0127,dogmatic,독단적인
gmat_0128,draw a conclusion,결론을 도출하다
gmat_0129,dubious,모호한
gmat_0130,duration,지속
gmat_0131,economical,경제적인
gmat_0132,elicit,유도하다
gmat_0133,eliminate,제거하다
gmat_0134,empirical,경험적인
gmat_0135,encroach,침범하다
gmat_0136,endemic,풍토병
gmat_0137,endorse,지지하다
gmat_0138,enhance,향상시키다
gmat_0139,ensue,...을 찾다
gmat_0140,entail,계승 예정 순위
gmat_0141,entrenched,참호에 자리잡은
gmat_0142,equivocal,확실치 않은
gmat_0143,eradicate,근절하다
gmat_0144,erroneous,잘못된
gmat_0145,eschew,피하다
gmat_0146,establish,설립하다
gmat_0147,estimate,추정
gmat_0148,evidence,증거
gmat_0149,exacerbate,더욱 심하게 하다
gmat_0150,exacting,힘든
gmat_0151,exception,예외
gmat_0152,exemplify,예시하다
gmat_0153,exhaustive,철저한
gmat_0154,expedite,신속히 진행하다
gmat_0155,expert witness,전문가 증인
gmat_0156,explain away,설명하다
gmat_0157,explicit,명백한
gmat_0158,exposure,노출
gmat_0159,extrapolate,외삽하다
gmat_0160,feasible,실행할 수 있는
gmat_0161,felony,중죄
gmat_0162,fine,괜찮은
gmat_0163,flawed,결함이 있는
gmat_0164,flawed analogy,결함 있는 비유
gmat_0165,fluctuate,변동하다
gmat_0166,foresee,예견하다
gmat_0167,fortuitous,우연한
gmat_0168,fraud,사기
gmat_0169,frugal,검소한
gmat_0170,fundamental,근본적인
gmat_0171,futile,하찮은
gmat_0172,generalization,일반화
gmat_0173,generalize,일반화하다
gmat_0174,germane,저먼
gmat_0175,hamper,광주리
gmat_0176,hearing,듣기
gmat_0177,hence,따라서
gmat_0178,heterogeneous,이질적인
gmat_0179,hidden variable,숨겨진 변수
gmat_0180,hypothesis,가설
gmat_0181,illuminate,비추다
gmat_0182,implicit,절대적인
gmat_0183,implicit assumption,암묵적인 가정
gmat_0184,imply,암시하다
gmat_0185,impose,부과하다
gmat_0186,imprisonment,투옥
gmat_0187,in accordance with the law,법률에 따라
gmat_0188,inadvertent,의도치 않은
gmat_0189,incentive,자극
gmat_0190,inconclusive,결론이 나지 않음
gmat_0191,inconsistent,일관성 없는
gmat_0192,incur,입다
gmat_0193,indicate,나타내다
gmat_0194,inevitable,불가피한
gmat_0195,infer,미루다
gmat_0196,inference,추론
gmat_0197,inflate,부풀게 하다
gmat_0198,inhibit,억제하다
gmat_0199,innovative,혁신적인
gmat_0200,insight,통찰력
gmat_0201,integral,완전한
gmat_0202,intermittent,간헐적
gmat_0203,interpretation,해석
gmat_0204,intrinsic,내재적인
gmat_0205,invoke,부르다
gmat_0206,irrelevant,무관한
gmat_0207,jail sentence,징역형
gmat_0208,judge,판사
gmat_0209,juror,배심원
gmat_0210,jury,배심
gmat_0211,justify,신이 옳다고 하다
gmat_0212,lament,비탄
gmat_0213,lead to,~로 이어지다
gmat_0214,lend support to,지원을 제공하다
gmat_0215,lenient,허술한
gmat_0216,life imprisonment,종신형
gmat_0217,likelihood,있을 수 있는 일
gmat_0218,logically follow,논리적으로 따름
gmat_0219,lucid,맑은
gmat_0220,magnitude,크기
gmat_0221,maintain,유지하다
gmat_0222,manslaughter,살인
gmat_0223,marginal,가장자리 가의
gmat_0224,misdemeanor,경범죄
gmat_0225,misinterpret,오해하다
gmat_0226,misleading,오해의 소지가 있는
gmat_0227,mitigate,완화시키다
gmat_0228,murder,살인
gmat_0229,mutually exclusive,상호 배타적인
gmat_0230,notion,개념
gmat_0231,notwithstanding,그럼에도 불구하고
gmat_0232,nuance,미묘한 차이
gmat_0233,objection,반대
gmat_0234,objective,목적
gmat_0235,obscure,애매하게 하다
gmat_0236,omit,생략
gmat_0237,ostensibly,겉보기에는
gmat_0238,out of scope,범위 밖
gmat_0239,outcome,결과
gmat_0240,overgeneralize,과잉 일반화하다
gmat_0241,overlook,내려다보다
gmat_0242,overlooked factor,간과된 요소
gmat_0243,paradox,역설
gmat_0244,parameter,매개변수
gmat_0245,partial,부분적인
gmat_0246,peculiar,이상한
