english,vietnamse
abate,"giảm bớt, lắng xuống"
aberration,sự lệch chuẩn; điều khác thường
abhor,căm ghét
abide by,tuân thủ
abrupt,đột ngột; thiếu sự chuyển tiếp trong lập luận
abstain,"kiêng, tránh"
acclaim,tán dương; lời khen ngợi
account for,giải thích nguyên nhân
accrue,"tích lũy, phát sinh dần"
accuse,buộc tội
acknowledge,thừa nhận; công nhận
acquiesce,miễn cưỡng đồng ý
acquit,tuyên trắng án
acute,nghiêm trọng; sắc bén
adverse,bất lợi
advocate,ủng hộ; người ủng hộ
aggregate,tổng hợp; cộng gộp
albeit,mặc dù
alternative explanation,cách giải thích khác
ambiguous,mơ hồ
ambivalent,"nước đôi, vừa thích vừa không"
ameliorate,cải thiện
anachronistic,"lạc hậu, sai thời"
analogous,tương tự
analogy,phép so sánh tương tự
anecdotal,"mang tính giai thoại, không đủ bằng chứng"
anomaly,điểm bất thường cần được giải thích
antagonistic,đối kháng
apathy,sự thờ ơ
appeal,kháng cáo
appeal against,kháng cáo (chống lại phán quyết)
appraise,đánh giá
arbitrary,tùy tiện
arduous,"gian khổ, khó khăn"
articulate,diễn đạt rõ ràng
ascertain,"xác định, làm rõ"
assault,hành hung
assert,khẳng định
assess,đánh giá dựa trên tiêu chí
assiduous,"chăm chỉ, cần mẫn"
assumption,giả định nền tảng của lập luận
attenuate,làm suy giảm
attribute (to),quy cho; gán cho
attribute to,quy nguyên nhân cho
augment,tăng cường
austere,khắc khổ; nghiêm ngặt
authentic,xác thực
avert,ngăn chặn
bailiff,nhân viên giữ trật tự phiên tòa
beyond a reasonable doubt,không còn nghi ngờ hợp lý
bias,thiên lệch trong mẫu hoặc lập luận
biased sample,mẫu thiên lệch
bolster,củng cố lập luận
broadly,một cách rộng rãi
burden of proof,gánh nặng chứng minh
burgeon,phát triển nhanh
buttress,chống đỡ lập luận
call into question,đặt nghi vấn
candid,thẳng thắn
capricious,thất thường
case,vụ án
cast doubt on,gây nghi ngờ
catalyst,chất xúc tác
causal,thuộc quan hệ nhân quả
cause-and-effect,nguyên nhân – kết quả
cautionary,mang tính cảnh báo
caveat,lời cảnh báo/điều kiện kèm theo
charge,cáo buộc
claim,luận điểm
claimant,nguyên đơn (thường dùng Anh)
coherent,mạch lạc
coincide,xảy ra đồng thời nhưng không nhất thiết có quan hệ nhân quả
coincidence,sự trùng hợp
collate,đối chiếu; tổng hợp
community service,lao động công ích
comparison,so sánh
compelling,thuyết phục mạnh về mặt logic
compensate,bù đắp
complacent,tự mãn
complement,bổ sung cho nhau
comprise,bao gồm
concede,nhượng bộ; thừa nhận
conclusion,kết luận của lập luận
conclusive,kết luận dứt khoát
concur,đồng ý
conduct (n.),hành vi
confound,làm nhiễu mối quan hệ nhân quả
confounding factor,yếu tố gây nhiễu
conjecture,suy đoán
consequently,vì vậy
constrain,hạn chế
contend,cho rằng
contradict,mâu thuẫn
conventional,thông thường; truyền thống
convict,kết tội
correlation,mối tương quan (không chắc là nhân quả)
corroborate,xác nhận bằng chứng
counterargument,lập luận phản biện
counterintuitive,trái với trực giác
court clerk,thư ký tòa
courtroom,phòng xử án
cross-examine,thẩm vấn chéo
crucial,mang tính quyết định
culminate,đạt đỉnh; kết thúc bằng
cursory,"lướt qua, qua loa"
deem,cho rằng
defend,bào chữa
defendant,bị cáo
defense attorney,luật sư bào chữa
defense lawyer,luật sư bào chữa
definitive,dứt khoát; mang tính quyết định
delineate,"vạch rõ, mô tả rõ"
demonstrate,chứng minh; thể hiện
depict,miêu tả
deplete,làm cạn kiệt
derive,rút ra; bắt nguồn
detrimental,gây hại
deviate,lệch khỏi
diagnose,chẩn đoán; xác định nguyên nhân
discrepancy,sự mâu thuẫn giữa dữ kiện
discrete,tách biệt
disinterested,không vụ lợi; khách quan
disparate,khác biệt
disseminate,phổ biến (thông tin)
distort,bóp méo thông tin
diverge,"phân kỳ, khác nhau"
dogmatic,giáo điều
draw a conclusion,rút ra kết luận
dubious,đáng ngờ
duration,khoảng thời gian
economical,tiết kiệm
elicit,gợi ra; thu được
eliminate,loại bỏ
empirical,thực nghiệm
